A,Bb,B,C,Dd,D,Ed,E,F,Gd,G,Ad
-13.668,-6.751,-12.772,-7.162,-3.803,-10.957,-7.884,-11.829,-3.319,-3.736,-15.574,-9.062
-16.433,-6.933,-6.2,-8.077,-16.753,-22.289,-11.494,-6.29,-13.103,-5.871,-2.939,-8.161
-9.628,-10.57,-9.435,-6.654,-5.934,-21.593,-7.626,-13.627,-6.816,-6.788,-7.64,-6.582
-6.947,-9.334,-7.672,-21.723,-4.332,-7.427,-5.234,-8.804,-16.051,-24.597,-14.041,-7.901
-13.703,-12.75,-6.951,-19.492,-15.672,-12,-18.397,-5.699,-8.72,-12.658,-15.046,-14.621
-17.522,-5.444,-8.46,-3.258,-11.428,-17.16,-4.228,-12.28,-6.931,-9.993,-12.708,-21.25
-8.339,-10.7,-12.279,-2.192,-7.225,-4.053,-10.231,-11.965,-10.586,-4.178,-19.263,-8.489
-6.531,-9.745,-14.509,-2.928,-8.422,-9.371,-15.598,-12.779,-14.891,-8.91,-12.752,-22.752
-16.844,-7.535,-1.843,-5.896,-18.703,-17.805,-3.536,-5.884,-4.44,-2.069,-7.758,-9.788
-15.578,-5.533,-3.937,-23.771,-9.672,-8.089,-7.834,-6.998,-6.033,-38.525,-6.206,-14.014
-10.328,-15.915,-13.135,-13.688,-6.358,-20.842,-4.806,-16.968,-8.132,-16.006,-6.609,-3.573
-8.798,-7.598,-9.506,-5.762,-5.134,-6.481,-7.301,-10.756,-9.56,-7.684,-23.685,-8.576
-10.917,-9.843,-16.527,-6.465,-18.341,-7.711,-18.863,-9.258,-12.298,-12.385,-13.777,-4.941
-9.79,-4.169,-14.123,-15,-6.977,-9.464,-6.181,-6.694,-14.876,-9.668,-6.014,-8.471
-14.367,-6.318,-1.998,-10.468,-9.448,-7.188,-6.26,-4.376,-11.124,-11.877,-20.284,-3.47
-7.605,-10.398,-21.787,-14.445,-5.797,-3.865,-10.609,-7.108,-11.484,-5.627,-16.113,-13.774
-5.12,-4.583,-32.017,-6.643,-8.832,-7.401,-9.01,-16.942,-15.755,-10.918,-5.703,-15.148
-8.041,-6.622,-14.544,-10.648,-9.559,-11.549,-6.097,-6.893,-4.62,-12.77,-3.91,-8.734
-14.835,-12.102,-10.754,-19.814,-9.131,-4.314,-7.232,-11.356,-13.792,-9.28,-7.803,-7.719
-17.492,-9.636,-15.599,-4.573,-8.942,-9.647,-2.844,-7.307,-2.397,-8.632,-2.542,-8.135
-16.994,-7.041,-5.537,-11.433,-4.969,-7.743,-30.293,-20.964,-15.926,-4.954,-5.728,-7.31
-12.811,-27.806,-2.838,-14.403,-13.462,-13.876,-7.769,-11.488,-13.898,-11.255,-11.937,-8.224
-3.159,-6.825,-2.704,-5.912,-22.271,-16.263,-3.753,-7.928,-9.055,-6.301,-15.624,-1.622
-13.781,-10.453,-8.933,-9.213,-19.976,-12.649,-5.025,-4.37,-8.059,-15.008,-10.3,-22.196
-3.325,-3.028,-22.35,-19.24,-3.951,-24.83,-7.634,-16.113,-3.766,-7.812,-8.521,-8.726
-8.499,-4.714,-18.724,-13.141,-6.883,-7.7,-18.169,-6.294,-8.591,-5.165,-4.998,-6.748
-7.467,-9.699,-6.746,-6.453,-3.017,-5.779,-8.754,-7.513,-8.246,-5.386,-9.883,-8.225
-2.315,-4.541,-16.077,-16.468,-7.461,-3.306,-8.405,-10.968,-8.301,-5.893,-15.279,-12.371
-13.078,-6.446,-7.458,-12.611,-3.584,-15.01,-11.156,-6.996,-13.633,-12.091,-18.152,-15.777
-11.26,-16.504,-5.568,-19.76,-16.357,-7.397,-5.434,-8.916,-6.677,-13.456,-7.974,-5.945
-13.481,-23.15,-10.895,-8.882,-6.022,-11.473,-6.53,-6.908,-11.71,-14.979,-23.874,-12.593
-19.461,-10.203,-3.637,-9.23,-8.579,-7.434,-11.786,-8.548,-23.347,-7.714,-9.492,-5.298
-6.608,-5.202,-13.134,-6.042,-7.74,-16.884,-2.932,-7.113,-13.242,-5.68,-4.442,-8.871
-12.01,-9.249,-8.654,-12.446,-5.492,-14.493,-6.518,-7.693,-20.026,-10.225,-12.935,-2.617
-10.862,-9.035,-14.688,-8.523,-9.848,-12.839,-5.573,-8.299,-14.338,-14.816,-15.164,-7.657
-11.927,-17.91,-11.661,-6.966,-7.736,-9.191,-4.812,-25.146,-17.242,-6.435,-5.849,-4.022
-9.224,-12.597,-7.499,-7.401,-5.981,-11.459,-7.751,-6.832,-12.471,-12.552,-7.688,-13.159
-5.653,-12.586,-10.269,-10.187,-17.714,-9.517,-6.017,-10.324,-7.078,-9.903,-7.551,-10.803
-3.806,-12.161,-9.899,-13.533,-29.75,-9.693,-10.72,-4.507,-12.088,-26.626,-7.405,-11.359
-18.91,-8.41,-17.611,-11.383,-20.816,-11.255,-16.021,-4.621,-13.778,-12.677,-9.84,-3.062
-9.718,-5.614,-9.393,-22.803,-11.828,-11.851,-12.392,-9.513,-6.828,-12.389,-7.693,-5.575
-22.825,-31.412,-6.762,-16.325,-6.664,-8.665,-4.834,-10.45,-7.787,-9.586,-4.982,-9.302
-5.959,-18.719,-14.934,-13.705,-8.57,-11.814,-8.874,-4.179,-14.179,-5.648,-19.376,-4.465
-7.114,-4.184,-6.464,-6.144,-9.105,-6.475,-5.384,-14.217,-4.786,-6.311,-8.301,-9.96
-7.249,-12.139,-10.548,-6.752,-7.837,-12.469,-5.152,-3.235,-9.219,-8.952,-5.304,-13.578
-9.846,-6.318,-8.521,-9.66,-7.087,-7.865,-13.991,-7.315,-28.475,-10.844,-4.854,-14.44
-11.97,-4.853,-13.512,-16.397,-6.774,-16.336,-13.762,-7.951,-15.605,-6.366,-15.889,-13.816
-9.996,-6.917,-12.714,-11.897,-3.973,-8.493,-5.654,-5.766,-15.404,-19.157,-4.166,-13.163
-9.186,-6.478,-10.653,-8.602,-18.713,-21.506,-13.613,-5.208,-16.375,-5.953,-3.741,-11.706
-10.918,-4.059,-20.359,-18.34,-1.479,-6.724,-5.627,-10.881,-9.027,-13.607,-7.68,-3.593
-10.85,-13.42,-2.001,-24.57,-16.937,-3.947,-3.38,-20.846,-15.893,-4.852,-5.306,-5.419
-9.469,-2.769,-36.835,-8.441,-4.99,-17.661,-6.481,-5.66,-9.505,-5.644,-4.678,-16.399
-10.483,-7.382,-14.28,-5.688,-11.448,-9.627,-13.686,-6.876,-3.67,-5.724,-10.872,-5.962
-10.72,-7.123,-17.941,-6.071,-4.732,-5.508,-6.069,-5.799,-9.333,-18.245,-18.935,-6.81
-6.084,-15.305,-11.663,-4.78,-7.654,-9.811,-3.985,-13.992,-17.186,-9.221,-1.723,-9.823
-6.282,-5.869,-2.999,-3.832,-5.911,-10.284,-4.272,-7.199,-16.683,-8.189,-5.716,-14.301
-10.275,-10.551,-11.404,-10.733,-4.002,-7.877,-12.1,-5.963,-9.722,-21.835,-4.398,-7.165
-8.226,-9.917,-15.995,-12.237,-8.005,-5.129,-11.338,-4.141,-7.51,-9.042,-5.378,-6.942
-7.381,-6.016,-37.065,-10.672,-8.334,-29.521,-21.761,-13.047,-5.497,-3.854,-11.611,-4.181
-11.415,-10.621,-4.188,-10.937,-5.155,-24.986,-4.947,-21.978,-14.957,-8.612,-15.661,-3.884
-10.976,-7.768,-8.733,-8.801,-5.498,-8.311,-17.114,-14.489,-3.761,-7.005,-8.032,-13.569
-4.683,-10.486,-21.412,-18.516,-10.791,-6.652,-4.68,-15.546,-8.066,-10.56,-13.984,-12.338
-10.362,-7.998,-8.596,-6.68,-7.268,-9.344,-5.065,-7.329,-6.682,-4.994,-14.775,-16.063
-6.051,-6.618,-22.492,-9.635,-6.241,-10.175,-11.803,-10.086,-5.659,-16.724,-3.619,-5.431
-10.196,-15.076,-11.216,-13.61,-11.258,-17.169,-23.73,-12.22,-12.144,-9.033,-8.07,-6.01
-20.193,-13.192,-8.774,-6.857,-12.838,-14.23,-5.173,-8.525,-16.407,-13.592,-10.971,-7.123
-12.743,-20.082,-9.65,-16.169,-8.672,-8.069,-8.006,-11.236,-10.215,-2.599,-15.968,-3.909
-10.764,-2.844,-10.566,-12.031,-5.814,-3.352,-9.087,-23.095,-12.307,-9.449,-14.172,-8.43
-9.479,-23.684,-18.184,-22.71,-14.094,-7.404,-20.696,-13.12,-9.423,-13.763,-5.853,-12.042
-8.983,-12.806,-9.89,-4.136,-5.563,-14.206,-6.574,-9.99,-13.434,-8.09,-8.586,-11.601
-9.148,-15.55,-4.639,-6.57,-7.145,-10.623,-13.891,-6.589,-11.29,-9.614,-15.406,-8.287
-18.263,-7.622,-7.54,-8.238,-13.659,-16.538,-6.265,-7.071,-13.322,-5.993,-12.565,-10.015
-4.134,-6.89,-13.179,-13.505,-11.696,-10.943,-6.477,-15.653,-22.104,-5.991,-11.291,-11.552
-6.076,-10.002,-6.533,-8.48,-3.961,-13.812,-11.241,-11.105,-10.386,-11.857,-4.422,-10.201
-11.766,-21.511,-17.057,-5.021,-6.163,-5.704,-4.487,-9.381,-8.202,-5.946,-6.033,-6.338
-9.911,-5.041,-3.287,-24.436,-6.83,-6.855,-4.773,-12.436,-4.618,-10.612,-8.178,-12.347
-3.826,-4.165,-11.931,-10.688,-6.206,-12.239,-10.481,-6.186,-7.884,-10.037,-14.393,-13.805
-3.959,-6.255,-12.21,-10.613,-7.996,-8.424,-14.904,-8.962,-6.222,-18.533,-21.997,-5.356
-13.873,-10.623,-7.582,-9.699,-4.736,-12.324,-8.64,-12.584,-21.036,-13.227,-6.209,-10.012
-9.074,-21.177,-17.263,-9.625,-13.11,-8.895,-8.502,-4.238,-18.891,-5.516,-10.786,-6.421
-4.379,-9.503,-2.968,-10.322,-12.149,-8.096,-17.532,-17.019,-9.974,-12.708,-7.986,-5.612
-14.711,-5.977,-14.409,-14.441,-11.947,-16.241,-6.618,-3.487,-17.382,-8.273,-10.575,-3.382
-8.506,-9.532,-7.299,-20.754,-18.86,-4.003,-6.57,-6.473,-12.625,-4.771,-3.198,-16.376
-13.637,-20.18,-5.56,-7.009,-6.419,-16.077,-5.299,-12.468,-16.007,-9.894,-2.323,-7.632
-16.05,-8.907,-28.946,-6.291,-14.188,-9.035,-4.403,-11.536,-25.395,-5.695,-13.397,-10.69
-5.737,-12.43,-15.668,-8.165,-8.748,-5.15,-6.72,-7.462,-9.781,-7.207,-4.061,-4.833
-9.139,-9.256,-12.548,-11.824,-11.516,-15.644,-23.155,-14.51,-3.848,-6.129,-13.486,-8.228
-10.727,-5.414,-8.775,-8.46,-16.427,-6.465,-9.783,-13.224,-14.579,-12.026,-5.626,-5.477
-8.691,-26.343,-21.854,-10.141,-10.718,-9.89,-5.094,-20.446,-5.013,-3.871,-14.1,-6.186
-14.293,-12.37,-9.528,-15.732,-10.261,-11.777,-10.906,-5.371,-11.907,-2.679,-14.199,-8.328
-6.375,-3.492,-14.04,-13.54,-4.65,-6.828,-5,-4.568,-3.902,-9.725,-8.06,-3.963
-21.881,-8.758,-10.42,-16.764,-6.028,-10.913,-18.473,-3.049,-5.533,-3.918,-7.295,-5.851
-10.393,-15.015,-9.057,-11.688,-8.712,-13.391,-5.031,-6.942,-14.373,-8.096,-9.992,-12.634
-12.91,-13.818,-10.557,-9.285,-7.548,-7.294,-9.298,-8.154,-6.674,-7.286,-14.361,-9.793
-5.764,-7.164,-6.067,-3.936,-12.473,-3.693,-8.654,-6.356,-4.675,-5.286,-7.638,-12.325
-6.675,-6.735,-10.62,-4.048,-12.972,-8.966,-11.958,-17.92,-5.772,-6.61,-34.033,-3.809
-8.493,-9.199,-7.442,-7.992,-4.199,-14.058,-4.242,-7.356,-4.144,-6.199,-2.182,-8.525
-7.15,-6.216,-11.31,-6.667,-14.031,-14.213,-12.546,-5.906,-13.213,-17.437,-12.011,-8.977
-6.695,-5.355,-23.519,-9.817,-10.38,-11.126,-9.279,-16.163,-7.114,-5.098,-9.104,-11.368
-20.302,-4.952,-8.826,-14.107,-2.45,-3.599,-5.16,-6.36,-28.231,-5.8,-6.962,-6.076
-14.286,-3.8,-5.111,-4.858,-8.92,-7.121,-5.485,-18.118,-14.181,-21.361,-20.524,-5.631
-6.025,-8.274,-8.4,-16.643,-7.343,-5.184,-13.711,-14.919,-11.613,-6.992,-5.145,-8.592
-9.978,-8.341,-8.788,-9.489,-12.637,-10.96,-7.454,-5.16,-8.913,-5.085,-20.819,-14.977
-10.997,-8.559,-19.991,-9.926,-12.172,-7.077,-10.744,-4.394,-12.411,-7.183,-11.005,-11.009
-10.494,-8.885,-5.75,-5.395,-29.692,-9.109,-12.643,-19.602,-7.798,-7.46,-10.587,-11.485
-10.239,-19.751,-4.613,-24.997,-19.368,-6.359,-30.978,-6.519,-6.788,-11.837,-35.702,-4.277
-11.567,-6.547,-7.168,-15.609,-10.164,-14.808,-7.414,-10.484,-22.504,-16.408,-13.577,-3.968
-12.384,-9.295,-13.074,-7.474,-16.765,-10.596,-5.98,-14.178,-9.214,-13.115,-8.183,-10.715
-10.475,-5.73,-9.073,-22.42,-17.13,-13.214,-13.434,-16.398,-3.93,-28.2,-12.256,-3.889
-11.537,-9.429,-15.872,-14.254,-3.663,-8.419,-9.868,-9.296,-5.602,-16.136,-11.91,-6.407
-1.977,-5.251,-15.754,-12.09,-21.858,-11.257,-5.939,-18.354,-10.258,-14.755,-15.498,-8.706
-7.683,-11.331,-13.345,-23.042,-11.104,-8.299,-14.665,-20.826,-14.094,-15.655,-11.3,-9.464
-15.732,-22.088,-13.276,-5.295,-12.483,-4.357,-14.712,-5.084,-11.607,-11.524,-4.116,-11.613
-10.241,-8.901,-5.807,-17.306,-14.799,-6.259,-21.685,-9.727,-4.252,-13.771,-8.89,-7.597
-6.874,-8.15,-10.823,-20.067,-7.012,-4.739,-5.033,-8.25,-12.013,-15.586,-7.255,-15.121
-5.243,-10.537,-20.02,-10.262,-22.272,-10.19,-12.686,-3.942,-21.533,-15.571,-13.522,-7.465
-14.252,-12.26,-14.443,-7.183,-5.958,-6.586,-4.429,-5.864,-23.538,-8.686,-13.915,-12.908
-8.432,-17.081,-14.233,-6.63,-2.895,-8.925,-8.681,-6.107,-13.142,-12.767,-7.495,-18.341
-14.669,-6.965,-9.769,-16.404,-4.665,-3.211,-16.866,-3.257,-3.564,-5.343,-13.476,-18.466
-10.491,-20.142,-11.4,-7.96,-12.745,-6.924,-47.664,-7.163,-6.824,-8.173,-11.031,-15.303
-7.306,-17.518,-13.311,-13.174,-6.611,-7.239,-24.953,-9.905,-13.342,-7.284,-8.884,-13.615
-7.705,-12.066,-8.328,-11.375,-8.963,-11.14,-7.475,-8.878,-7.136,-8.016,-6.367,-7.35
-8.085,-14.38,-4.854,-6.904,-15.45,-17.214,-7.992,-5.4,-11.079,-11.252,-16.865,-12.198
-14.736,-23.815,-13.89,-2.42,-11.401,-9.368,-6.353,-5.227,-5.743,-13.551,-20.536,-14.835
-14.002,-8.688,-7.717,-4.696,-4.774,-6.102,-11.498,-9.433,-15.506,-13.277,-5.676,-4.002
-8.78,-13.149,-6.467,-5.782,-5.92,-13.515,-5.766,-8.311,-5.028,-5.041,-25.678,-5.821
-5.721,-5.167,-11.528,-6.225,-17.83,-6.115,-7.311,-8.815,-4.504,-10.846,-7.144,-17.746
-13.626,-7.219,-9.495,-14.089,-12.338,-3.6,-9.951,-11.212,-5.282,-9.516,-13.306,-5.054
-12.679,-7.113,-6.873,-3.696,-7.3,-26.393,-14.873,-10.99,-4.938,-16.389,-5.777,-11.68
-6.601,-8.085,-4.462,-6.736,-10.27,-9.642,-11.38,-5.871,-8.596,-12.852,-8.416,-6.424
-14.073,-16.486,-16.334,-15.892,-14.562,-12.921,-8.173,-4.231,-4.044,-3.237,-14.511,-10.249
-3.738,-5.189,-4.768,-4.325,-10.091,-13.758,-8.112,-9.535,-9.832,-15.161,-5.39,-5.535
-17.337,-10.166,-5.647,-11.502,-4.309,-24.98,-9.432,-8.251,-11.761,-4.392,-6.031,-11.085
-14.088,-4.942,-9.013,-28.215,-9.134,-7.797,-6.016,-7.711,-11.437,-4.439,-3.165,-7.085
-8.392,-5.973,-5.852,-17.806,-12.831,-13.006,-10.942,-5.425,-16.794,-20.832,-7.589,-12.215
-10.288,-1.927,-5.763,-9.186,-6.893,-12.577,-3.616,-9.839,-17.729,-13.753,-4.601,-7.261
-13.289,-10.525,-19.569,-8.318,-9.86,-15.069,-10.047,-7.564,-9.787,-7.42,-11.539,-6.036
-8.792,-8.209,-10.06,-24.14,-9.224,-18.321,-13.467,-3.545,-5.74,-9.224,-21.585,-7.105
-8.888,-3.246,-6.986,-4.909,-5.099,-6.111,-9.592,-24.422,-6.305,-6.862,-14.243,-9.715
-12.193,-5.992,-8.383,-31.391,-10.011,-16.151,-7.822,-10.794,-8.669,-7.64,-10.87,-6.205
-14.818,-7.831,-13.05,-13.987,-12.469,-5.536,-10.742,-14.173,-15.933,-6.621,-10.033,-5.497
-6.883,-8.987,-7.119,-6.513,-8.351,-9.147,-10.239,-7.329,-26.597,-11.74,-32.637,-5.627
-6.301,-9.116,-5.202,-11.869,-10.256,-24.877,-6.55,-6.917,-5.928,-10.815,-12.785,-22.115
-9.881,-3.424,-5.429,-11.96,-4.014,-7.249,-3.731,-6.451,-5.01,-2.93,-11.128,-4.316
-5.404,-4.594,-9.813,-8.404,-5.603,-5.317,-16.394,-14.157,-5.643,-7.341,-3.053,-12.16
-17.958,-13.136,-10.247,-4.183,-5.247,-24.321,-6.195,-17.307,-6.893,-4.678,-6.779,-14.853
-4.045,-6.949,-13.321,-9.713,-4.694,-22.737,-8.648,-6.427,-15.37,-11.906,-4.456,-9.317
-10.527,-12.493,-12.209,-14.848,-7.893,-9.657,-6.211,-27.369,-9.376,-7.345,-14.767,-5.688
-12.987,-5.625,-16.41,-8.295,-8.415,-16.205,-5.544,-9.853,-10.713,-4.092,-12.665,-5.827
-6.176,-9.244,-8.508,-9.67,-16.589,-14.587,-7.828,-11.448,-6.319,-13.422,-9.329,-4.367
-8.913,-10.825,-34.703,-5.144,-4.296,-6.951,-6.092,-11.027,-6.472,-13.358,-12.546,-5.47
-5.92,-3.38,-7.045,-21.392,-20.142,-23.893,-11.255,-27.858,-12.299,-3.8,-5.047,-17.664
-14.218,-6.02,-20.444,-12.078,-6.811,-15.336,-10.062,-9.76,-6.458,-6.778,-13.331,-15.429
-11.106,-23.366,-6.671,-5.534,-6.917,-9.969,-10.204,-4.018,-18.826,-12.008,-12.955,-14.419
-12.797,-10.203,-15.314,-11.234,-12.421,-6.56,-5.587,-13.881,-8.701,-18.105,-12.928,-12.744
-9.31,-8.704,-24.773,-23.555,-16.71,-5.815,-9.379,-3.525,-19.634,-26.997,-6.845,-8.796
-8.26,-5.174,-13.341,-17.661,-2.988,-6.803,-17.877,-7.632,-6.248,-13.589,-9.233,-13.506
-8.238,-6.905,-11.19,-5.377,-17.9,-6.304,-3.46,-5.106,-5.155,-8.072,-5.995,-11.053
-19.87,-11.783,-6.994,-12.054,-12.346,-20.335,-10.696,-17.222,-8.901,-9.95,-16.657,-9.716
-17.772,-6.634,-5.19,-20.139,-10.412,-4.373,-8.688,-6.605,-12.585,-9.71,-13.567,-5.516
-17.472,-15.912,-8.637,-7.1,-6.183,-11.814,-5.811,-14.647,-23.949,-5.045,-4.314,-5.715
-11.854,-7.769,-11.58,-8.817,-8.662,-3.432,-3.737,-14.663,-4.999,-4.912,-13.718,-10.095
-12.354,-3.775,-7.848,-8.873,-33.595,-6.079,-7.993,-11.477,-5.338,-5.893,-6.21,-9.584
-18.086,-2.904,-12.067,-16.945,-14.117,-10.985,-13.713,-11.661,-14.241,-4.63,-14.886,-19.488
-20.174,-9.225,-8.107,-3.624,-9.384,-6.692,-3.976,-5.698,-18.75,-13.644,-13.362,-8.775
-7.094,-7.625,-9.322,-6.303,-6.485,-16.111,-7.254,-6.826,-28.536,-9.803,-14.922,-8.958
-25.585,-2.664,-3.353,-5.567,-5.914,-21.498,-3.523,-16.196,-6.217,-9.502,-8.789,-15.545
-11.101,-5.765,-5.074,-5.977,-7.803,-12.88,-14.89,-7.594,-5.688,-14.361,-15.963,-17.88
-9.041,-6.612,-11.556,-10.44,-10.561,-8.707,-4.962,-3.723,-5.066,-5.563,-6.644,-4.04
-16.055,-8.665,-12.935,-16.077,-9.535,-24.705,-5.677,-8.844,-10.088,-16.45,-18.149,-9.588
-8.285,-6.916,-4.459,-6.895,-14.881,-9.285,-7.441,-7.29,-18.449,-15.953,-6.566,-51.643
-14.467,-5.17,-20.575,-12.083,-5.439,-10.22,-12.472,-7.359,-13.336,-8.763,-7.477,-5.426
-9.805,-10.03,-9.215,-9.165,-6.22,-6.382,-8.762,-12.891,-5.512,-2.741,-16.333,-6.806
-16.889,-3.628,-5.319,-10.351,-12.054,-11.922,-6.8,-6.572,-3.362,-10.453,-15.857,-16.104
-8.755,-17.549,-12.439,-8.027,-3.926,-12.685,-8.692,-7.716,-27.513,-10.285,-17.462,-8.01
-10.242,-6.094,-3.478,-15.506,-6.79,-5.983,-3.813,-9.472,-14.856,-7.494,-6.214,-9.631
-18.338,-7.275,-6.297,-12.908,-8.361,-11.947,-13.306,-5.967,-17.667,-13.143,-5.095,-7.573
-18.025,-6.635,-16.372,-20.779,-11.926,-13.691,-7.34,-11.96,-9.042,-19.64,-2.801,-7.949
-23.549,-7.57,-4.347,-22.646,-6.743,-7.284,-6.697,-6.51,-14.015,-22.384,-8.593,-8.797
-15.712,-5.2,-7.242,-23.109,-15.016,-7.038,-14.15,-7.884,-2.735,-4.029,-4.754,-9.068
-5.729,-22.729,-13.558,-20.246,-3.764,-11.918,-8.23,-5.745,-9.783,-9.559,-10.401,-10.034
-13.983,-6.648,-21.63,-18.119,-6.156,-28.19,-11.011,-6.962,-10.099,-10.919,-21.418,-4.634
-4.333,-4.017,-8.522,-6.569,-12.652,-17.825,-8.368,-16.067,-5.191,-9.532,-9.785,-5.53
-11.51,-7.425,-7.817,-17.725,-7.093,-5.654,-32.339,-4.533,-14.641,-7.83,-9.663,-4.662
-8.078,-13.015,-9.909,-21.429,-10.901,-11.415,-5.21,-10.791,-3.376,-16.21,-9.923,-11.655
-8.667,-7.98,-28.346,-8.527,-14.807,-16.252,-6.351,-19.736,-6.945,-11.037,-6.497,-8.601
-8.948,-3.786,-13.743,-6.361,-8.723,-6.779,-12.287,-9.873,-4.085,-5.88,-17.452,-6.772
-3.394,-11.302,-4.866,-8.371,-12.892,-5.856,-8.821,-17.425,-27.845,-5.863,-14.431,-8.951
-9.573,-7.921,-7.736,-12.193,-23.964,-4.843,-14.401,-14.173,-6.68,-9.06,-23.876,-13.54
-12.455,-8.232,-6.852,-16.017,-6.116,-11.339,-5.157,-2.713,-7.531,-10.601,-6.223,-9.36
-7.551,-11.516,-16.165,-35.251,-9.063,-5.956,-1.81,-15.354,-5.261,-16.261,-8.209,-4.907
-2.98,-6.888,-13.666,-14.316,-14.977,-6.804,-5.971,-8.498,-8.402,-6.367,-7.422,-6.084
-12.407,-7.54,-4.442,-4.024,-9.801,-12.187,-10.824,-22.645,-7.155,-8.017,-7.613,-12.896
-8.278,-16.137,-8.674,-3.869,-28.107,-20.282,-12.23,-2.973,-5.333,-11.425,-18.526,-4.984
-17.896,-16.156,-8.556,-3.819,-17.15,-17.495,-11.59,-8.147,-12.845,-13.533,-3.858,-9.4
-13.818,-3.542,-2.191,-9.612,-10.814,-5.345,-5.94,-8.087,-4.295,-3.879,-25.038,-26.589
-12.584,-15.775,-5.315,-5.432,-11.314,-6.433,-2.874,-8.7,-23.581,-11.622,-9.406,-11.719
-9.29,-6.023,-11.852,-10.386,-13.135,-13.339,-8.717,-6.36,-4.438,-8.626,-3.684,-7.49
-7.717,-8.511,-18.626,-17.55,-9.1,-13.575,-9.847,-20.373,-13.644,-14.886,-19.174,-12.945
-11.718,-3.586,-11.749,-12.917,-5.24,-17.379,-8.914,-12.626,-12.602,-11.123,-17.309,-21.782
-11.957,-23.476,-10.879,-8.666,-20.865,-11.706,-10.212,-13.411,-4.654,-7.329,-12.219,-11.366
-10.203,-9.644,-3.237,-12.859,-6.953,-16.409,-10.26,-5.145,-8.081,-3.638,-12.738,-9.132
-17.471,-12.69,-15.242,-10.112,-9.089,-6.171,-8.737,-10.061,-4.829,-3.082,-4.883,-6.355
-10.328,-8.918,-4.602,-8.229,-6.635,-13.379,-12.1,-19.544,-6.04,-13.839,-11.723,-8.435
-12.121,-6.293,-4.556,-22.187,-6.736,-16.865,-7.805,-10.401,-17.332,-4.776,-5.443,-3.574
-5.833,-5.475,-13.706,-7.742,-8.148,-4.133,-2.255,-10.478,-13.587,-16.459,-12.005,-5.197
-5.676,-10.235,-18.054,-16.757,-4.283,-7.269,-3.201,-13.01,-8.169,-14.135,-7.611,-15.717
-7.075,-6.604,-9.451,-14.928,-14.023,-16.479,-12.274,-9.606,-6.808,-8.732,-5.597,-9.255
-7.033,-7.532,-9.366,-5.232,-6.728,-18.692,-3.183,-10.771,-11.163,-10.509,-8.005,-12.861
-10.288,-5.051,-8.158,-11.323,-17.629,-15.086,-14.72,-6.209,-3.931,-13.459,-14.586,-9.322
-14.573,-10.591,-6.378,-14.471,-9.059,-19.597,-6.368,-4.017,-5.515,-16.673,-5.953,-9.37
-10.295,-4.176,-5.911,-7.897,-2.224,-10.3,-5.62,-11.552,-8.244,-9.018,-7.958,-5.296
-6.18,-7.825,-10.152,-6.664,-15.615,-2.785,-10.305,-11.786,-18.636,-6.738,-11.73,-7.566
